Periodo;AGROPEC.;Ext.Mineral;Transfor.;Eletricidade;Construcao;INDUST.;Comercio;Transporte;Serv.infor.;Interm.finac.;Ativ.imobili.;OutrosServ.;Adm.publica;SERVIC.
1996.I;8518,3062;1144,770421;25792,36173;3785,86668;10974,13484;41149,35563;13913,76953;5536,327983;3841,788074;16549,90779;15361,63043;23191,81171;26371,87247;104419,5216
1996.II;8437,173842;1151,046717;24125,74232;3833,927784;10923,60468;40129,6771;13938,89021;5419,135712;3899,699843;16598,26558;15460,09136;23078,06647;26614,06905;104796,0275
1996.III;9002,39275;1086,412124;27798,85156;3853,203801;11011,31387;43667,49449;14311,12357;5592,284625;3992,5495;16607,86849;15591,67432;23160,63332;26760,4256;106540,368
1996.IV;11162,8687;1136,751131;25051,07847;3932,399119;10960,57085;41109,48489;14531,7218;5381,563699;3978,051843;15343,89247;15228,47924;23068,81736;26556,97137;104039,3477
1997.I;9088,315651;1158,182394;26388,59305;4003,450744;11473,0192;43124,07979;14539,08875;5640,003883;4021,477565;16830,29396;15566,80448;23388,99942;26544,94565;106302,1832
1997.II;8798,048675;1168,071828;26388,51814;4031,191087;11665,59807;43343,89814;14666,17319;5814,889897;4127,861373;16785,56951;15681,58691;23594,24452;26471,68683;107125,1796
1997.III;9163,877031;1211,886311;26478,50919;4114,267751;12004,00715;43819,65573;14826,0626;5854,354282;4098,976102;16776,24665;15839,37081;23789,3277;26519,2783;107953,5669
1997.IV;9957,961551;1205,823261;26071,70389;4166,61058;12186,88549;43775,95767;14881,14159;5964,343108;4282,215962;16750,38429;16094,30129;24295,57322;26725,59136;109040,9237
1998.I;8918,995888;1217,850295;25328,21112;4156,263517;12171,38003;43138,62133;14554,42774;5728,675408;4203,493819;16467,8078;16021,10463;23618,81321;26974,79329;107695,4468
1998.II;9927,997475;1251,782631;25465,95278;4125,216988;12224,22231;43171,57437;14732,05214;5961,865629;4169,858959;16519,11588;16170,6808;24088,95971;27207,34954;109092,9126
1998.III;9692,038752;1232,977847;25178,55825;4136,348197;12024,74934;42692,26567;14574,16471;5993,791441;4593,800513;16556,06087;16234,75515;24181,76807;27462,0304;109984,4315
1998.IV;9475,717407;1212,686175;24251,46621;4100,553165;11712,52615;41450,87217;13991,86238;5755,801308;4858,031137;16588,68464;16374,86062;24233,11441;27688,61442;109767,6907
1999.I;9974,170357;1205,691291;24304,62229;4071,642857;11448,99096;41355,07854;14088,48095;5610,452044;4993,251456;16555,99977;16627,23542;23994,31344;28029,11383;110532,959
1999.II;10068,2678;1162,675412;24455,5028;4174,465525;11422,77409;41259,15138;14152,89571;5459,98062;5092,436279;16584,43822;16598,45264;24193,7709;28196,68006;110894,7804
1999.III;10085,64335;1154,998526;24407,41467;4181,907565;11405,07809;41286,03956;14037,48221;5588,230796;4916,434116;16595,40664;16567,63888;24368,54912;28302,3121;111022,7077
