Periodo;AGROPEC.;Ext.Mineral;Transfor.;Eletricidade;Construcao;INDUST.;Comercio;Transporte;Serv.infor.;Interm.finac.;Ativ.imobili.;OutrosServ.;Adm.publica;SERVIC.
1996.I;9316,402265;1106,975703;22989,13066;3835,489952;10525,13344;38456,72976;12731,93777;5031,391106;3740,841324;15329,09107;15372,8386;22400,28168;26246,87794;100853,2595
1996.II;9332,386221;1102,103021;24655,23765;3771,931896;10872,62256;40401,89512;13999,03367;5344,776236;3843,035956;14879,98378;15479,60112;22772,56018;26862,11255;103181,1035
1996.III;9561,619775;1119,05457;29570,69363;3816,540333;11555,10627;46061,3948;15154,66852;5910,454352;3985,847048;17653,0747;15500,33163;23450,11864;26829,5833;108484,0782
1996.IV;8216,42293;1190,72768;25534,55917;3980,533271;11054,10445;41759,92457;14838,43663;5643,587898;4146,665342;17097,34319;15285,66366;23869,5597;26366,69448;107247,9509
1997.I;9966,149715;1096,767611;23619,05007;4053,552181;10859,40557;39718,81789;13312,42931;5083,499906;3915,461708;15588,25225;15582,30222;22594,83777;26433,26921;102783,9942
1997.II;9743,808712;1142,219863;26918,18839;3971,517906;11614,17233;43647,67701;14757,72615;5789,695457;4069,272348;15051,69305;15695,69257;23288,40031;26703,07233;105502,2296
1997.III;9702,871719;1244,419968;28202,17541;4075,258751;12589,10907;46159,95523;15650,67256;6169,993889;4092,869506;17839,45404;15749,90152;24074,89154;26588,05366;109863,1382
1997.IV;7310,161374;1261,296356;26572,17433;4213,751666;12291,24861;44445,72912;15189,56379;6232,564081;4462,105376;18642,3359;16155,20348;25139,40938;26536,00907;112254,892
1998.I;9825,113241;1181,109022;22615,58133;4208,005222;11530,06869;39744,84674;13379,06344;5226,260546;4091,286364;15263,85856;16041,39574;22824,17904;26836,51468;104221,1565
1998.II;11018,40349;1199,152185;25971,84104;4066,449829;12173,06731;43524,83904;14833,75797;5881,437621;4112,797478;14820,65151;16174,75422;23778,4945;27466,64979;107468,8693
1998.III;10208,1542;1266,665014;26836,13125;4096,682199;12591,56056;44909,79992;15300,42822;6302,400115;4586,522592;17610,82319;16147,22772;24463,46098;27535,70352;111837,6967
1998.IV;6923,166282;1269,372529;24789,74861;4145,681054;11815,16134;42156,66744;14295,2182;6024,990212;5062,952733;18430,31517;16444,0757;25075,64531;27495,81646;112994,6484
1999.I;11061,00708;1167,804004;21655,49081;4124,434798;10867,87978;38061,31861;13037,90604;5120,420263;4857,382141;15364,32104;16643,62471;23192,89219;27900,5038;107102,533
1999.II;11194,74386;1109,348689;24910,74732;4118,366897;11368,52103;41602,13549;14231,84167;5383,546715;5024,41555;14891,08068;16594,85029;23879,71142;28442,61083;109264,0877
1999.III;10564,23549;1189,511718;26010,08281;4139,635652;11915,77466;43331,40063;14627,28595;5874,045141;4908,235294;17657,62089;16485,43283;24647,00724;28383,31772;112829,4142
1999.IV;7632,799193;1235,167557;25770,40729;4224,166606;11606,17436;42899,07546;14628,15593;6118,174523;5386,129322;18404,00725;16588,6514;25571,63933;28199,81534;115272,4189
2000.I;11742,77094;1160,424862;23077,06784;4363,834642;10991,6932;39804,13294;13568,01393;5450,277043;5404,933117;15733,26721;16746,92005;24319,1273;28282,86415;110464,369
2000.II;11580,84336;1180,811205;26232,01205;4261,474378;11497,41176;43238,89817;14428,00354;5917,773231;5755,693886;15198,84178;16999,7118;24744,80528;28812,66902;112885,5074
2000.III;10722,44128;1325,139567;27488,40481;4256,17662;12134,74469;45257,21164;15333,87243;6206,927429;6051,28094;18016,92993;17309,23429;25390,97823;28848,42438;117702,199
2000.IV;7508,423606;1462,754859;27144,76294;4415,715307;11776,57212;44912,65602;15735,82617;6209,373284;6309,923464;18831,42726;17925,34567;26010,45528;28860,64235;120513,9782
2001.I;12081,86396;1264,191888;24187,98517;4404,933318;11378,16095;41440,69465;14275,29181;5477,585549;5973,186042;15745,11781;17536,4539;23928,85145;29155,32586;113142,3833
2001.II;11932,26957;1282,457265;26428,18334;4174,498941;11472,13129;43424,32977;15135,06234;5891,824376;6177,080014;15321,95865;17729,50253;24976,70349;29904,80338;116477,9443
2001.III;11362,27785;1392,993042;27445,65173;3667,905498;11556,28771;44071,39913;15504,58434;6201,334076;6273,253381;18265,20825;17797,3961;25241,19552;29974,16719;119741,265
2001.IV;8339,042114;1466,542988;26621,93923;3722,419331;11230,82904;43163,7556;15239,57882;6268,036919;6628,271338;19228,24449;18103,48372;25948,59836;29848,66029;121729,8647
2002.I;12651,4867;1439,760794;23631,49349;3971,183437;11097,49652;40476,86357;13670,86397;5729,779587;6391,970311;16434,79369;18065,29804;24973,91187;30084,52406;116465,077
