Periodo;AGROPECUÁRIA;Ext. Mineral;Transformação;Eletricidade e gás, água, esgoto e limpeza urbana;Construção;Comércio;Transporte, armazenagem e correio;Serviços de informação;Interm. finaceira e seguros;Atividades imobiliárias;Outros Serv.;APU, educação pública e saúde pública
1996.I;9.316;1.107;22.989;3.835;10.525;12.732;5.031;3.741;15.329;15.373;22.400;26.247
1996.II;9.332;1.102;24.655;3.772;10.873;13.999;5.345;3.843;14.880;15.480;22.773;26.862
1996.III;9.562;1.119;29.571;3.817;11.555;15.155;5.910;3.986;17.653;15.500;23.450;26.830
1996.IV;8.216;1.191;25.535;3.981;11.054;14.838;5.644;4.147;17.097;15.286;23.870;26.367
1997.I;9.966;1.097;23.619;4.054;10.859;13.312;5.083;3.915;15.588;15.582;22.595;26.433
1997.II;9.744;1.142;26.918;3.972;11.614;14.758;5.790;4.069;15.052;15.696;23.288;26.703
1997.III;9.703;1.244;28.202;4.075;12.589;15.651;6.170;4.093;17.839;15.750;24.075;26.588
1997.IV;7.310;1.261;26.572;4.214;12.291;15.190;6.233;4.462;18.642;16.155;25.139;26.536
1998.I;9.825;1.181;22.616;4.208;11.530;13.379;5.226;4.091;15.264;16.041;22.824;26.837
1998.II;11.018;1.199;25.972;4.066;12.173;14.834;5.881;4.113;14.821;16.175;23.778;27.467
1998.III;10.208;1.267;26.836;4.097;12.592;15.300;6.302;4.587;17.611;16.147;24.463;27.536
1998.IV;6.923;1.269;24.790;4.146;11.815;14.295;6.025;5.063;18.430;16.444;25.076;27.496
1999.I;11.061;1.168;21.655;4.124;10.868;13.038;5.120;4.857;15.364;16.644;23.193;27.901
1999.II;11.195;1.109;24.911;4.118;11.369;14.232;5.384;5.024;14.891;16.595;23.880;28.443
1999.III;10.564;1.190;26.010;4.140;11.916;14.627;5.874;4.908;17.658;16.485;24.647;28.383
1999.IV;7.633;1.235;25.770;4.224;11.606;14.628;6.118;5.386;18.404;16.589;25.572;28.200
2000.I;11.743;1.160;23.077;4.364;10.992;13.568;5.450;5.405;15.733;16.747;24.319;28.283
2000.II;11.581;1.181;26.232;4.261;11.497;14.428;5.918;5.756;15.199;17.000;24.745;28.813
2000.III;10.722;1.325;27.488;4.256;12.135;15.334;6.207;6.051;18.017;17.309;25.391;28.848
2000.IV;7.508;1.463;27.145;4.416;11.777;15.736;6.209;6.310;18.831;17.925;26.010;28.861
2001.I;12.082;1.264;24.188;4.405;11.378;14.275;5.478;5.973;15.745;17.536;23.929;29.155
2001.II;11.932;1.282;26.428;4.174;11.472;15.135;5.892;6.177;15.322;17.730;24.977;29.905
2001.III;11.362;1.393;27.446;3.668;11.556;15.505;6.201;6.273;18.265;17.797;25.241;29.974
2001.IV;8.339;1.467;26.622;3.722;11.231;15.240;6.268;6.628;19.228;18.103;25.949;29.849
2002.I;12.651;1.440;23.631;3.971;11.097;13.671;5.730;6.392;16.435;18.065;24.974;30.085
2002.II;12.809;1.549;26.603;4.191;11.795;14.667;6.151;6.439;16.000;18.308;25.737;30.736
2002.III;12.690;1.613;28.249;4.166;12.380;15.305;6.507;6.671;19.001;18.520;26.432;30.698
2002.IV;9.072;1.628;28.391;4.322;12.554;15.090;6.394;7.118;19.725;19.017;27.439;30.577
2003.I;14.596;1.481;23.012;4.364;11.012;13.729;5.417;6.583;16.017;19.296;25.561;30.730
2003.II;14.529;1.518;27.157;4.195;10.342;14.417;5.977;6.749;15.390;19.249;25.596;31.656
2003.III;12.876;1.654;30.425;4.300;10.891;14.820;6.373;6.792;18.264;19.012;26.411;31.775
2003.IV;9.142;1.862;29.123;4.411;11.303;15.537;6.458;7.097;19.198;19.217;26.961;31.858
2004.I;14.598;1.514;26.278;4.374;11.093;14.824;5.961;6.659;16.243;19.430;25.220;33.050
2004.II;14.821;1.578;29.302;4.588;11.712;15.773;6.361;6.924;17.613;20.038;26.560;32.607
2004.III;13.463;1.683;32.348;4.608;12.986;16.614;6.541;7.136;18.120;20.643;27.579;32.799
2004.IV;9.283;1.709;31.754;4.736;12.437;16.716;6.682;7.674;19.537;20.878;28.994;32.743
2005.I;15.062;1.543;27.465;4.661;11.332;15.328;6.276;7.165;17.847;20.706;26.813;32.834
